Date Time,Pressure (psi) (790478),Temperature (°C) (790478),Depth (ft) (790478),Actual Conductivity (µS/cm) (790478),Specific Conductivity (µS/cm) (790478),Salinity (PSU) (790478),Total Dissolved Solids (ppt) (790478),Resistivity (Ω⋅cm) (790478),Density (g/cm³) (790478),Barometric Pressure (mbar) (670831),Temperature (°C) (670831),Latitude (°),Longitude (°),Marked
2025-07-09 16:09:24,1.1070793,9.973636,2.5543904,17.455427,24.481785,0.010063433,0.01591316,57288.777,0.99971235,924.2879,20.96,46.750861545144545,-121.80462987268402, 
2025-07-09 16:09:25,1.1074089,9.973706,2.555151,17.456142,24.482744,0.010063889,0.015913783,57286.426,0.99971235,924.28894,20.96,46.75086154514642,-121.80462987267771, 
2025-07-09 16:09:26,1.1076564,9.974273,2.5557218,17.456676,24.483122,0.010064077,0.01591403,57284.67,0.9997123,924.3066,20.968708,46.750861545148304,-121.8046298726714, 
2025-07-09 16:09:27,1.1076901,9.974336,2.5557997,17.456978,24.483503,0.010064259,0.015914278,57283.684,0.9997123,924.3081,20.969233,46.75086154515019,-121.80462987266506, 
2025-07-09 16:09:28,1.1077238,9.974399,2.5558777,17.45728,24.483885,0.010064441,0.015914526,57282.695,0.9997123,924.30963,20.969755,46.750861562508064,-121.8046298142341, 
2025-07-09 16:09:29,1.1074401,9.974146,2.5552232,17.461422,24.489859,0.010067272,0.015918408,57269.11,0.9997123,924.2649,20.960922,46.750861562509826,-121.80462981422822, 
2025-07-09 16:09:30,1.1074342,9.974146,2.5552094,17.46169,24.490236,0.010067451,0.015918653,57268.227,0.9997123,924.2627,20.96062,46.75086156251159,-121.80462981422232, 
2025-07-09 16:09:31,1.1078415,9.974137,2.556149,17.474754,24.508564,0.010076155,0.015930565,57225.42,0.99971235,924.2614,20.960342,46.75086156251334,-121.80462981421641, 
2025-07-09 16:09:32,1.1078601,9.974132,2.5561917,17.47566,24.509838,0.01007676,0.015931394,57222.453,0.99971235,924.2603,20.960117,46.75086156251509,-121.80462981421051, 
2025-07-09 16:09:33,1.1078787,9.974126,2.5562346,17.476566,24.511112,0.010077365,0.015932223,57219.484,0.99971235,924.25916,20.959892,46.75086156251684,-121.8046298142046, 
2025-07-09 16:09:34,1.1074643,9.973557,2.555279,17.456533,24.483389,0.010064191,0.015914204,57285.152,0.99971235,924.2597,20.951298,46.75086156251859,-121.80462981419873, 
2025-07-09 16:09:35,1.1074498,9.973523,2.5552452,17.455656,24.482182,0.0100636175,0.01591342,57288.027,0.99971235,924.2597,20.950773,46.750861562520335,-121.80462981419282, 
2025-07-09 16:09:36,1.1074351,9.973489,2.5552115,17.45478,24.480976,0.010063044,0.015912635,57290.9,0.99971235,924.2597,20.950249,46.75086156252209,-121.80462981418692, 
2025-07-09 16:09:37,1.1078573,9.973574,2.5561852,17.466,24.496655,0.010070492,0.015922828,57254.098,0.99971235,924.25085,20.950197,46.75086156252384,-121.80462981418103, 
2025-07-09 16:09:38,1.1078719,9.973564,2.556219,17.466164,24.496891,0.010070603,0.01592298,57253.56,0.99971235,924.25037,20.949972,46.75086156252558,-121.80462981417512, 
2025-07-09 16:09:39,1.1072308,9.9741125,2.55474,17.462315,24.491135,0.010067879,0.015919236,57266.18,0.9997123,924.25854,20.958494,46.75086156252733,-121.80462981416925, 
2025-07-09 16:09:40,1.1072018,9.974148,2.554673,17.46235,24.49116,0.010067892,0.015919253,57266.062,0.9997123,924.25885,20.959013,46.750861562529074,-121.80462981416336, 
2025-07-09 16:09:41,1.1071727,9.974184,2.5546062,17.462385,24.491186,0.010067905,0.01591927,57265.945,0.9997123,924.25916,20.959532,46.75086156253082,-121.80462981415747, 
2025-07-09 16:09:42,1.1078253,9.974673,2.5561118,17.44872,24.4717,0.01005866,0.015906606,57310.797,0.9997122,924.25073,20.951004,46.75086156253256,-121.80462981415155, 
2025-07-09 16:09:43,1.107849,9.974717,2.5561666,17.447792,24.470371,0.01005803,0.015905742,57313.844,0.9997122,924.2504,20.950695,46.75086156253431,-121.80462981414566, 
2025-07-09 16:09:44,1.1078727,9.97476,2.5562212,17.446865,24.46904,0.010057398,0.015904877,57316.89,0.9997122,924.2501,20.950388,46.75086156253606,-121.80462981413977, 
2025-07-09 16:09:45,1.0950482,9.974508,2.5266309,17.448711,24.471796,0.010058701,0.01590667,57310.824,0.9997123,924.2588,20.95906,46.75086156253782,-121.80462981413388, 
2025-07-09 16:09:46,1.0943068,9.974506,2.5249205,17.448467,24.471457,0.01005854,0.015906448,57311.62,0.9997123,924.2591,20.959356,46.750861562539576,-121.80462981412796, 
2025-07-09 16:09:47,1.1061175,9.974412,2.5521715,17.459126,24.486464,0.010065666,0.0159162,57276.645,0.9997123,924.2423,20.95965,46.75086156254133,-121.8046298141221, 
2025-07-09 16:09:48,1.1065423,9.9744005,2.5531516,17.45982,24.487446,0.010066133,0.01591684,57274.363,0.9997123,924.24146,20.959875,46.750861562543086,-121.80462981411621, 
2025-07-09 16:09:49,1.1069672,9.97439,2.5541317,17.460516,24.488428,0.0100666,0.015917478,57272.082,0.9997123,924.24066,20.9601,46.750861562544834,-121.80462981411031, 
2025-07-09 16:09:50,1.0953219,9.974714,2.5272624,17.460522,24.488226,0.010066507,0.015917346,57272.06,0.9997122,924.26624,20.96,46.75086156254659,-121.80462981410443, 
2025-07-09 16:09:51,1.0949256,9.974731,2.526348,17.46079,24.488592,0.010066682,0.015917584,57271.176,0.9997122,924.26733,20.96,46.75086156254835,-121.80462981409856, 
2025-07-09 16:09:52,1.0945294,9.974749,2.525434,17.46106,24.488958,0.010066856,0.015917823,57270.293,0.9997122,924.26843,20.96,46.7508615625501,-121.80462981409265, 
2025-07-09 16:09:53,1.1063719,9.974835,2.5527585,17.46488,24.494257,0.010069377,0.015921267,57257.766,0.9997122,924.2602,20.96,46.75086156255185,-121.80462981408675, 
2025-07-09 16:09:54,1.1067945,9.974849,2.5537336,17.465117,24.494581,0.01006953,0.015921477,57256.99,0.9997122,924.2603,20.96,46.75086156255361,-121.80462981408085, 
2025-07-09 16:09:55,1.1072193,9.975476,2.554714,17.460604,24.48784,0.01006634,0.015917096,57271.785,0.99971217,924.2685,20.96,46.75086156255536,-121.80462981407494, 
2025-07-09 16:09:56,1.1075385,9.975516,2.5554504,17.460428,24.487566,0.01006621,0.01591692,57272.367,0.99971217,924.2688,20.96,46.7508615625571,-121.80462981406907, 
2025-07-09 16:09:57,1.1078577,9.975556,2.556187,17.46025,24.487291,0.010066081,0.01591674,57272.945,0.99971217,924.2691,20.96,46.75086156255885,-121.80462981406319, 
2025-07-09 16:09:58,1.1073173,9.975572,2.55494,17.461288,24.488737,0.010066768,0.01591768,57269.54,0.99971217,924.252,20.968725,46.7508615625606,-121.80462981405731, 
2025-07-09 16:09:59,1.107295,9.975588,2.5548887,17.461243,24.488663,0.010066733,0.01591763,57269.69,0.99971217,924.25116,20.969261,46.75086156256235,-121.80462981405141, 
2025-07-09 16:10:00,1.1072729,9.975604,2.5548372,17.461197,24.488586,0.010066697,0.01591758,57269.84,0.99971217,924.2503,20.969799,46.75086156256411,-121.80462981404551, 
2025-07-09 16:10:01,1.1076827,9.976581,2.5557833,17.461605,24.488518,0.0100666825,0.015917536,57268.504,0.99971205,924.2678,20.960953,46.75086156256587,-121.8046298140396, 
2025-07-09 16:10:02,1.1076964,9.976639,2.555815,17.461657,24.488552,0.010066699,0.015917558,57268.34,0.99971205,924.2684,20.960659,46.750861562567636,-121.80462981403373, 
2025-07-09 16:10:03,1.1076068,9.976817,2.555608,17.482498,24.517664,0.010080523,0.01593648,57200.08,0.9997121,924.2605,20.968863,46.7508615625694,-121.80462981402785, 
2025-07-09 16:10:04,1.1076108,9.976851,2.5556173,17.48379,24.519455,0.010081373,0.015937645,57195.848,0.9997121,924.26044,20.969162,46.75086156257115,-121.80462981402196, 
2025-07-09 16:10:05,1.1076149,9.976886,2.5556269,17.485083,24.521244,0.010082223,0.01593881,57191.613,0.9997121,924.2603,20.969461,46.75086156257291,-121.80462981401607, 
2025-07-09 16:10:06,1.1077144,9.977521,2.5558565,17.48085,24.51489,0.010079219,0.015934678,57205.46,0.99971205,924.26,20.952356,46.75086156257466,-121.80462981401018, 
2025-07-09 16:10:07,1.107718,9.977563,2.555865,17.481121,24.515244,0.010079387,0.015934907,57204.57,0.99971205,924.25977,20.951534,46.75086156257641,-121.80462981400429, 
2025-07-09 16:10:08,1.1077217,9.977606,2.5558734,17.481392,24.515594,0.010079554,0.015935136,57203.684,0.99971205,924.2595,20.95071,46.75086156257816,-121.80462981399839, 
2025-07-09 16:10:09,1.10788,9.977858,2.5562387,17.464481,24.491713,0.01006822,0.015919615,57259.082,0.999712,924.2597,20.959265,46.7508615625799,-121.80462981399248, 
2025-07-09 16:10:10,1.1078919,9.977889,2.556266,17.463387,24.490158,0.0100674825,0.015918603,57262.664,0.999712,924.2597,20.95934,46.75086156258165,-121.80462981398658, 
2025-07-09 16:10:11,1.1078963,9.978362,2.5562766,17.465158,24.492332,0.010068523,0.015920017,57256.85,0.99971193,924.2682,20.959644,46.75086156258339,-121.80462981398067, 
2025-07-09 16:10:12,1.1079003,9.978397,2.5562856,17.46488,24.49192,0.010068326,0.015919749,57257.766,0.99971193,924.26874,20.95987,46.750861562585136,-121.80462981397477, 
2025-07-09 16:10:13,1.1079042,9.978433,2.5562947,17.464602,24.491507,0.010068131,0.015919479,57258.676,0.99971193,924.2693,20.960094,46.750861562586884,-121.80462981396887, 
2025-07-09 16:10:14,1.1072339,9.97932,2.5547483,17.487484,24.523012,0.010083107,0.015939958,57183.773,0.9997119,924.25214,20.96,46.75085400164117,-121.8046584184037, 
2025-07-09 16:10:15,1.1071935,9.979385,2.554655,17.488913,24.524971,0.0100840395,0.015941232,57179.094,0.9997119,924.2513,20.96,46.75085308751173,-121.80465755671908, 
2025-07-09 16:10:16,1.107153,9.979451,2.554562,17.490341,24.526932,0.010084971,0.015942506,57174.418,0.9997119,924.2505,20.96,46.75085308750696,-121.80465755673451, 
2025-07-09 16:10:17,1.1078277,9.980591,2.5561185,17.473568,24.502666,0.010073465,0.015926734,57229.3,0.99971175,924.259,20.951187,46.75085308750219,-121.80465755674996, 
2025-07-09 16:10:18,1.1078503,9.98068,2.5561707,17.473162,24.502037,0.010073168,0.015926324,57230.63,0.99971175,924.25903,20.950668,46.750853087497426,-121.8046575567654, 
2025-07-09 16:10:19,1.0956897,9.980797,2.5281122,17.467165,24.49355,0.010069141,0.015920807,57250.28,0.9997117,924.25934,20.958881,46.75085308749265,-121.80465755678085, 
2025-07-09 16:10:20,1.0949477,9.980831,2.5264006,17.466404,24.492458,0.010068624,0.015920097,57252.777,0.9997117,924.2596,20.95919,46.75085308748789,-121.8046575567963, 
2025-07-09 16:10:21,1.0942059,9.980865,2.5246887,17.465641,24.49137,0.010068107,0.01591939,57255.27,0.9997117,924.25977,20.959497,46.750853087483115,-121.80465755681175, 
2025-07-09 16:10:22,1.1063961,9.980855,2.5528157,17.467438,24.493893,0.010069306,0.015921032,57249.383,0.9997117,924.27704,20.959724,46.75085308747835,-121.80465755682718, 
2025-07-09 16:10:23,1.1068207,9.980858,2.5537953,17.467398,24.493837,0.01006928,0.015920995,57249.51,0.9997117,924.27814,20.959951,46.75085308747358,-121.80465755684263, 
2025-07-09 16:10:24,1.1072453,9.98086,2.5547752,17.46736,24.493782,0.010069253,0.015920958,57249.64,0.9997117,924.2792,20.960178,46.750853087468826,-121.80465755685807, 
2025-07-09 16:10:25,1.0944167,9.981337,2.5251753,17.468554,24.495142,0.010069909,0.015921842,57245.727,0.9997117,924.2439,20.95116,46.75085308746405,-121.80465755687352, 
2025-07-09 16:10:26,1.0939574,9.981365,2.5241156,17.46866,24.495275,0.010069972,0.01592193,57245.37,0.9997117,924.24225,20.950638,46.75085308745929,-121.80465755688897, 
2025-07-09 16:10:27,1.0936769,9.981463,2.5234683,17.476387,24.506046,0.010075087,0.015928932,57220.066,0.99971175,924.2581,20.950369,46.75085308745453,-121.80465755690442, 
2025-07-09 16:10:28,1.093351,9.981481,2.5227163,17.476887,24.506735,0.010075415,0.015929379,57218.43,0.99971175,924.25824,20.950144,46.750853087449755,-121.80465755691985, 
2025-07-09 16:10:29,1.0930252,9.981498,2.5219646,17.477386,24.507423,0.010075741,0.015929827,57216.793,0.99971175,924.25836,20.949919,46.75085308744498,-121.80465755693527, 
2025-07-09 16:10:30,1.1056509,9.982935,2.5510964,17.477123,24.506111,0.010075144,0.015928973,57217.656,0.9997116,924.2851,20.967302,46.75085308744022,-121.80465755695072, 
2025-07-09 16:10:31,1.106412,9.983024,2.5528529,17.477299,24.5063,0.010075235,0.015929095,57217.08,0.9997115,924.2871,20.96835,46.75085308743546,-121.80465755696616, 
2025-07-09 16:10:32,1.1071732,9.983113,2.554609,17.477476,24.506489,0.010075326,0.015929218,57216.5,0.9997115,924.2891,20.969398,46.75085308743069,-121.80465755698164, 
2025-07-09 16:10:33,1.1075414,9.984097,2.5554588,17.465881,24.489588,0.010067315,0.01591823,57254.49,0.99971145,924.3066,20.96076,46.750853087425924,-121.80465755699709, 
2025-07-09 16:10:34,1.1078814,9.984192,2.5562434,17.465193,24.488562,0.01006683,0.015917564,57256.742,0.99971145,924.3083,20.960691,46.750853087421156,-121.80465755701252, 
2025-07-09 16:10:35,1.0951978,9.984534,2.5269783,17.466793,24.490578,0.0100677945,0.015918877,57251.496,0.9997114,924.2668,20.960388,46.75085308741639,-121.80465755702794, 
