Calibration_volume_ml,Additions_of_secondary_ml,Cumulative_secondary_solution_ml,Conductivity
3000,0,0,16.42
3001,1,1,18.71
3002,1,2,20.72
3003,1,3,22.70
3004,1,4,24.71
3005,1,5,26.63
3006,1,6,28.77
3007,1,7,30.52
3008,1,8,32.67
3009,1,9,34.71
3010,1,10,36.75
3011,1,11,38.85
3012,1,12,40.81
3013,1,13,42.89
